Country.,Contract.Phase.,Implementing.Organization.,Fieldwork.,Status.,CAPI.survey,GPS.georeferenced,dhs_cc,dhs_recode_code,survey_id,Recode.Structure.,Birth.registration,Calendar,Cooking.fuel,Domestic.violence,Fieldworker.characteristics,Fistula,HIV.behavior,HIV.knowledge,Iodine.salt.test,Malaria.questions,Male.circumcision.self.reported,Maternal.mortality,Men.s.survey,Micronutrients,Paper.survey,Social.marketing,Tobacco.use,Tuberculosis.questions,Vitamin.A.questions,Women.s.status,Abortion,Alcohol.consumption,Causes.of.death,Health.expenditures,Migration,Out.of.pocket.health.expenditures,Pregnancy.history,Prenatal.care...folic.acid,Verbal.autopsy,Anemia.testing,Anthropometry,Blood.pressure..measure.,Blood.pressure.questions,Child.discipline,Child.labor,Diabetes.questions,Disability,Early.childhood.education,Health.insurance,Vaccinations.from.health.facilities,Non.communicable.diseases,Anemia.questions,HIV.testing,HIV.testing...DBS,HIV.testing.includes.confirmation,Malaria...RDT,Malaria...Microscopy,Breast.cancer.screening.questions,Cervical.cancer.screening.questions,Prostate.cancer.screening.questions,Diabetes.testing,Newborn.care,Service.availability,CAF�.survey,Arsenic...water.test,Husband.s.survey,Early.childhood.development,Female.genital.cutting,OVC,HIV.testing...venous.blood,Arm.circumference,Asthma,Basic.material.needs,HIV.testing...RDT,Malaria...DBS,Youth,Hepatitis.B.testing,Hepatitis.C.testing,Avian.influenza.knowledge,HIV.testing...children,Lead.testing,HIV.incidence,HIV.viral.load,E..coli...water.test,Measles.testing,Syphilis.testing,Tetanus.testing,HIV.CD4.count,Sickle.cell..genotype.test.,Chlorine...water.test,Urine.iodine.excretion,Iron.transferrin.receptor..related.to.anemia.testing,Vitamin.A.testing,Herpes.simplex.virus...HSV.2.,Human.trafficking,Chlamydia.testing,Lipids.testing,BeginDate,EndDate,dayslength,middate,BeginYear,EndYear,surveyyr,WealthIndex
Armenia,DHS-V,"National Statistic Service (NSS), MOH Center for Health Information and Statistics (MOH)",September 2005 - December 2005,Completed,,1,AM,54,262,DHS-IV,1,1,1,,,,1,1,1,,,,1,1,1,,1,1,1,1,1,1,,,,,1,,,1,1,1,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-09-01,2005-12-01,91,2005-10-17,2005,2005,2005,1
Armenia,DHS-IV,National Statistical Service/MOH,October 2000 - December 2000,Completed,,,AM,42,203,DHS-IV,1,1,1,,,,1,1,1,,,,1,1,1,,1,1,,1,1,1,,,,,1,,,1,1,,,,,1,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-10-01,2000-12-01,61,2000-10-31,2000,2000,2000,1
Azerbaijan,DHS-V,State Statistical Committee of Azerbaijan,July 2006 - November 2006,Completed,,,AZ,52,279,DHS-V,1,1,1,1,,,1,1,1,,1,,1,1,1,,1,1,1,1,1,1,,,,,1,,,1,1,1,,1,,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-07-01,2006-11-01,123,2006-09-01,2006,2006,2006,1
Bangladesh,DHS-VII,"Associates for Community and Population Research (ACPR), National Institute for Population Research and Training (NIPORT)",August 2017 - September 2017,Completed,1,,,,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-01,2017-09-01,31,2017-08-17,2017,2017,2017,
Bangladesh,DHS-VII,Mitra and Associates (MA),October 2017 - March 2018,Completed,1,,BD,7R,536,DHS-VII,1,1,1,,1,,1,1,,,,,,1,,1,,,,1,,,,1,1,,,,1,1,1,1,1,,1,1,,,1,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-10-01,2018-03-01,151,2017-12-16,2017,2018,2018,
Bangladesh,DHS-VII,"Associates for Community and Population Research (ACPR), National Institute for Population Research and Training (NIPORT)",June 2014 - September 2014,Completed,1,1,,,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-06-01,2014-09-01,92,2014-07-17,2014,2014,2014,
Bangladesh,DHS-VII,National Institute of Population Research and Training (NIPORT) and Mitra and Associates of Dhaka,June 2014 - November 2014,Completed,,1,BD,72,461,DHS-VI,1,1,1,,,,1,1,,,,,,1,1,1,,,1,1,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-06-01,2014-11-01,153,2014-08-16,2014,2014,2014,1
Bangladesh,DHS-VI,National Institute of Population Research and Training (NIPORT) and Mitra and Associates of Dhaka,July 2011 - December 2011,Completed,,1,BD,61,349,DHS-VI,1,1,1,,,,1,1,1,,,,1,1,1,1,1,,1,1,,,1,,,,,,1,1,1,1,1,,1,1,,,,,1,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-01,2011-12-01,153,2011-09-15,2011,2011,2011,1
Bangladesh,DHS-V,National Institute for Population Research and Training (NIPORT),March 2007 - August 2007,Completed,,1,BD,51,287,DHS-V,,1,1,1,,,1,1,,,,,1,1,1,,1,1,1,1,1,1,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-03-01,2007-08-01,153,2007-05-16,2007,2007,2007,1
Bangladesh,DHS-IV,Mitra & Associates,January 2004 - May 2004,Completed,,1,BD,4J,236,DHS-IV,,1,1,,,,1,1,,,,,1,1,1,1,1,1,1,1,1,,1,,,,,,1,,1,,,,1,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-01-01,2004-05-01,121,2004-03-01,2004,2004,2004,1
Bangladesh,DHS-IV,Mitra & Associates/ ACPR/ NIPORT,January 2001 - June 2001,Completed,,,BD,4A,137,,,1,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-01-01,2001-06-01,151,2001-03-18,2001,2001,2001,
Bangladesh,DHS-IV,Mitra & Associates / NIPORT,November 1999 - March 2000,Completed,,1,BD,41,135,DHS-III,,1,,,,,,1,,,,,1,1,1,1,,,,1,1,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-11-01,2000-03-01,121,1999-12-31,1999,2000,2000,1
Bangladesh,DHS-IV,Mitra & Associates/ NIPORT,September 1999 - December 1999,Completed,,1,,,136,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-09-01,1999-12-01,91,1999-10-17,1999,1999,1999,
Bangladesh,DHS-III,Mitra & Associates/ NIPORT,November 1996 - March 1997,Completed,,,BD,3A,89,DHS-III,,1,,,,,1,1,,,,,1,,1,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-11-01,1997-03-01,120,1996-12-31,1996,1997,1997,1
Bangladesh,DHS-III,Mitra & Associates/ NIPORT,November 1993 - March 1994,Completed,,,BD,31,59,DHS-III,,1,,,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993-11-01,1994-03-01,120,1993-12-31,1993,1994,1994,
Benin,DHS-VII,Institut National de la Statistique et de l’Analyse Économique (INSAE),November 2017 - February 2018,Completed,1,1,BJ,71,491,DHS-VII,1,1,1,1,1,,1,1,1,,1,1,1,1,,1,1,,,1,,,,,1,,,,,1,1,1,1,1,1,1,,,1,,1,1,,,,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-01,2018-02-01,92,2017-12-17,2017,2018,2018,1
Benin,DHS-VI,"The Institut National de l’Analyse Économique (INSAE), of the Ministry of Plan",December 2011 - March 2012,Completed,1,1,BJ,61,420,DHS-VI,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,,,1,,,,,1,,,,,1,1,1,,,1,1,,,1,,1,,1,1,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-12-01,2012-03-01,91,2012-01-16,2011,2012,2012,1
Benin,DHS-V,"National Institute of Statistics and Economic Analysis (INSAE) in collaboration with AIDS"" National Program (PNLA) for HIV testing component",August 2006 - November 2006,Completed,,,BJ,51,289,DHS-V,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,,1,,,,,1,1,,,,1,,,,,,,,1,1,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-08-01,2006-11-01,92,2006-09-16,2006,2006,2006,1
Benin,DHS-IV,Institut National de la Statistique et de l'Analyse Economique,August 2001 - November 2001,Completed,,1,BJ,41,211,DHS-IV,1,,1,,,,1,1,1,,,,1,1,1,,1,,1,1,,1,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-08-01,2001-11-01,92,2001-09-16,2001,2001,2001,1
Benin,DHS-III,Institute National de la Statistique,June 1996 - August 1996,Completed,,1,BJ,31,87,DHS-III,,,1,,,,1,1,,,,1,1,1,1,1,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-06-01,1996-08-01,61,1996-07-01,1996,1996,1996,1
Bolivia,DHS-V,"Instituto Nacional de Estadistica, Ministerio de Salud y Deportes, Programa Reforma de Salud e Instituto Nacional de Estadística",February 2008 - June 2008,Completed,,1,BO,51,319,DHS-V,1,1,1,1,,,1,1,1,,,1,1,1,1,,1,1,1,1,1,1,,,,,,,,1,1,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-02-01,2008-06-01,121,2008-04-01,2008,2008,2008,1
Bolivia,DHS-IV,"Instituto Nacional de Estadistica, INE",August 2003 - January 2004,Completed,,,BO,41,238,DHS-IV,1,1,1,1,,,1,1,1,,,1,1,1,1,,1,,1,1,1,1,,,,,,,,1,1,,1,1,,,1,1,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-08-01,2004-01-01,153,2003-10-16,2003,2004,2004,1
Bolivia,DHS-III,"Instituto Nacional de Estadistica, INE",March 1998 - September 1998,Completed,,,BO,3B,98,DHS-III,,,1,,,,1,1,1,,,,1,,1,,,,,,,,,,,,,,,1,1,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-03-01,1998-09-01,184,1998-06-01,1998,1998,1998,1
Bolivia,DHS-III,Instituto Nacional de Estadística (INE),November 1993 - May 1994,Completed,,,BO,31,65,DHS-III,,1,1,,,,1,1,1,,,1,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993-11-01,1994-05-01,181,1994-01-30,1993,1994,1994,1
Bolivia,DHS-I,Instituto Nacional de Estadística (INE),March 1989 - July 1989,Completed,,,BO,01,28,DHS-I,,,,,,,,,,,,1,,1,1,1,,,,1,,,1,,1,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-03-01,1989-07-01,122,1989-05-01,1989,1989,1989,
Botswana,DHS-I,"Family Health Division of the Ministry of Health, and Central Statistics Office of the Ministry of Finance and Development Planning",August 1988 - December 1988,Completed,,,,,23,DHS-I,,,1,,,,,1,,,,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988-08-01,1988-12-01,122,1988-10-01,1988,1988,1988,
Brazil,DHS-III,Sociedad Civil Bem-Estar Familiar no Brasil (BEMFAM),March 1996 - June 1996,Completed,,,BR,31,85,DHS-III,,1,,,,,,1,1,,,1,1,1,1,1,1,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-03-01,1996-06-01,92,1996-04-16,1996,1996,1996,1
Brazil,DHS-II,Sociedad Civil Bem-Estar Familiar no Brasil (BEMFAM),August 1991 - December 1991,Completed,,,BR,21,40,DHS-II,,1,,,,,1,1,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-08-01,1991-12-01,122,1991-10-01,1991,1991,1991,
Brazil,DHS-I,Sociedad Civil Bem-Estar Familiar no Brasil (BEMFAM),May 1986 - August 1986,Completed,,,BR,01,2,DHS-I,,,,,,,,,,,,,,,1,1,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986-05-01,1986-08-01,92,1986-06-16,1986,1986,1986,
Burkina Faso,DHS-VII,Institute of Public Health (IPH) and Institute of Statistics (INSTAT),November 2017 - March 2018,Completed,,,BF,7A,526,DHS-VII,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-01,2018-03-01,120,2017-12-31,2017,2018,2018,1
Burkina Faso,DHS-VII,The National Institute of Statistics and Demography (Institute  National de la Statistique et de la Demographie - INSD),September 2014 - October 2014,Completed,,1,BF,71,481,DHS-VI,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-09-01,2014-10-01,30,2014-09-16,2014,2014,2014,1
Burkina Faso,DHS-VI,"The Institut National de la Statistique et de la Démographie (INSD), of the Ministry of Economy and Plan (MOEP) in collaboration with the Ministry of Health (MOH)",May 2010 - January 2011,Completed,,1,BF,62,329,DHS-VI,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,,,,,,,1,1,,,,1,,,,1,,,,1,,,1,1,1,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-05-01,2011-01-01,245,2010-08-31,2010,2011,2011,
Burkina Faso,DHS-IV,Institut National de la Statistique et de la Démographie (INSD),June 2003 - November 2003,Completed,,1,BF,43,230,DHS-IV,1,1,1,,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,,,,,,,,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-06-01,2003-11-01,153,2003-08-16,2003,2003,2003,1
Burkina Faso,DHS-III,Institut National de la Statistique et de la Démographie  (INSD),November 1998 - March 1999,Completed,,1,BF,31,116,DHS-III,,,,,,,1,1,,,,1,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-11-01,1999-03-01,120,1998-12-31,1998,1999,1999,1
Burkina Faso,DHS-II,Institut National de la Statistique et de la Démographie (INSD),December 1992 - March 1993,Completed,,1,BF,21,42,DHS-II,,,,,,,1,1,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1992-12-01,1993-03-01,90,1993-01-15,1992,1993,1993,1
Burundi,DHS-VII,Institut de Statistiques et d’Etudes Economiques du Burundi (ISTEEBU),October 2016 - February 2017,Completed,1,1,BU,71,463,DHS-VII,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,,1,,,1,,,1,,1,1,,1,1,1,,,1,1,,1,1,1,1,1,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2016-10-01,2017-02-01,123,2016-12-02,2016,2017,2017,1
Burundi,DHS-VI,Institut National de Statistique et d’Études Économiques (ISTEEBU),November 2012 - January 2013,Completed,,1,BU,6A,446,DHS-VI,,,1,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-11-01,2013-01-01,61,2012-12-01,2012,2013,2013,1
Burundi,DHS-VI,Institut de Statistiques et d'Études Économiques (ISTEEBU),August 2010 - January 2011,Completed,,1,BU,61,346,DHS-VI,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,,,,,,,1,1,,,,1,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-08-01,2011-01-01,153,2010-10-16,2010,2011,2011,
Burundi,DHS-I,Institut National de la Statistique et de la Démographie (INSD),March 1987 - July 1987,Completed,,,BU,01,16,DHS-I,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987-03-01,1987-07-01,122,1987-05-01,1987,1987,1987,
Cambodia,DHS-VII,National Institute of Statistics (NIS – Ministry of Planning) in collaboration with the Ministry of Health (MoH)).,June 2014 - December 2014,Completed,,1,KH,73,464,DHS-VI,1,1,1,1,,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,,1,,1,,,,1,1,,,,,,1,1,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-06-01,2014-12-01,183,2014-09-01,2014,2014,2014,1
Cambodia,DHS-VI,National Institute of Statistics (NIS),July 2010 - January 2011,Completed,,1,KH,61,310,DHS-V,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,1,,,1,,,,,,1,1,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-07-01,2011-01-01,184,2010-10-01,2010,2011,2011,1
Cambodia,DHS-V,Ministry of Planning/National Institute of Statistics,September 2005 - March 2006,Completed,,1,KH,51,257,DHS-V,1,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2005-09-01,2006-03-01,181,2005-11-30,2005,2006,2006,1
Cambodia,DHS-IV,National Institute of Statistics/Ministry of Health,February 2000 - July 2000,Completed,,1,KH,42,140,DHS-IV,1,,,1,,,1,1,1,,,1,,1,1,,,,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-02-01,2000-07-01,151,2000-04-17,2000,2000,2000,1
Cambodia,DHS-III,SAWA Cam./Nat. Inst. of Public Health,May 1998 - July 1998,Not Available,,,KH,31,139,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-05-01,1998-07-01,61,1998-05-31,1998,1998,1998,
Cameroon,DHS-VII,National Institute of Statistics (NIS),June 2018 - December 2018,Completed,1,1,CM,71,511,DHS-VII,,,1,1,1,,1,1,,,,1,1,,,,1,,,,1,1,,,,,,,,1,1,,1,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2018-06-01,2018-12-01,183,2018-09-01,2018,2018,2018,1
Cameroon,DHS-VI,Institut National de la Statistique (INS),January 2011 - August 2011,Completed,,1,CM,61,337,DHS-VI,1,,1,1,,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,,1,,1,,,,1,1,,,,1,,1,1,1,,,1,1,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-01,2011-08-01,212,2011-04-17,2011,2011,2011,1
Cameroon,DHS-IV,Institut National de la Statistique,February 2004 - August 2004,Completed,,1,CM,44,232,DHS-IV,1,,1,1,,,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,,,,,,,,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-02-01,2004-08-01,182,2004-05-02,2004,2004,2004,1
Cameroon,DHS-III,Bureau Central des Recensements et Études de Population,February 1998 - June 1998,Completed,,1,CM,31,101,DHS-III,,,,,,,1,1,1,,,1,1,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-02-01,1998-06-01,120,1998-04-02,1998,1998,1998,1
Cameroon,DHS-II,Ministère du Plan et de l’Aménagement du Territoire,April 1991 - September 1991,Completed,,1,CM,22,38,DHS-II,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-04-01,1991-09-01,153,1991-06-16,1991,1991,1991,1
