iso3_flat,crisis_id,crisis_name,type_of_crisis,regional_or_country,country_level,individual_aggregated,website_name,iso3,country,regions,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected,mon,year,Total.PiN,check,country_flat,income,region,population,seq,full.parent,Adjusted.PiN,crisis_category
GTM,GTM001,Complex crisis in Guatemala,Complex crisis,Country,Yes,Individual,Complex crisis,GTM,Guatemala,Americas,4.1,6.56,3.77,2.69,0,4.7,23.7,38,21.8,15.6,0,4,4.4,Apr,2019,6.46,99.1,Guatemala,Upper middle income,Latin America & Caribbean,17915567,1,FALSE,6.46,Complex
HND,HND001,Complex crisis in Honduras,Complex crisis,Country,Yes,Individual,Complex crisis,HND,Honduras,Americas,6.4,1.8,0.79,0.18,0,3.3,69.9,19.6,8.6,1.9,0,3,3.2,Dec,2019,0.97,100,Honduras,Lower middle income,Latin America & Caribbean,9904608,1,FALSE,0.97,Complex
HTI,HTI001,Complex crisis in Haiti,Complex crisis,Country,Yes,Individual,Complex crisis,HTI,Haiti,Americas,4.21,3.24,2.63,1.05,0,4.3,37.8,29.1,23.6,9.4,0,4,4.2,Nov,2019,3.68,99.9,Haiti,Low income,Latin America & Caribbean,11402533,1,FALSE,3.68,Complex
IDN,IDN001,Complex Crisis in Indonesia ,,Country,Yes,Individual,,IDN,Indonesia,Asia,56.17,,0.86,0.6,0,3.6,97.5,,1.5,1,0,1,2.3,Apr,2019,1.46,100,Indonesia,Lower middle income,East Asia & Pacific,273523621,1,FALSE,1.4,Complex
IDN,IDN002,Papua Conflict,Conflict,Country,No,Individual,Papua Conflict,IDN,Indonesia,Asia,0,4.27,0,0.04,0,0.9,0,99.1,0,0.9,0,2,1.5,Jul,2019,0.04,100,Indonesia,Lower middle income,East Asia & Pacific,273523621,2,FALSE,0.04,Conflict
IDN,IDN003,Sunda Strait Tsunami,,Country,No,Individual,,IDN,Indonesia,Asia,4.2,0,0.02,0,0,0.3,99.6,0,0.4,0,0,1,0.7,Jul,2019,0.02,100,Indonesia,Lower middle income,East Asia & Pacific,273523621,3,FALSE,0.02,Physical
IND,IND002,Conflict in Jammu and Kashmir,Conflict,Country,Yes,Individual,Kashmir conflict ,IND,India,Asia,,,,,0,,,,,,0,,,Mar,2019,0,0,India,Lower middle income,South Asia,1380004385,1,TRUE,0,Conflict
IRN,IRN002,Iran Floods,,Country,No,Individual,,IRN,Iran,Middle east,38.89,40.24,1.63,0.39,0,3.8,47.9,49.6,2,0.5,0,2,2.9,May,2019,2.02,100,Iran,Upper middle income,Middle East & North Africa,83992953,1,FALSE,2.02,Physical
IRQ,IRQ001,Multiple crises in Iraq,Multiple crises country,Country,Yes,Aggregated,Country level,IRQ,Iraq,Middle east,0,7.72,4.58,2.21,0,4.7,0,53.2,31.6,15.2,0,4,4.4,May,2019,6.79,100,Iraq,Upper middle income,Middle East & North Africa,40222503,1,TRUE,6.79,Complex
IRQ,IRQ002,Conflict  in Iraq,Conflict,Country,No,Individual,Conflict,IRQ,Iraq,Middle east,0,4.46,4.38,2.17,0,4.7,0,40.5,39.8,19.7,0,4,4.4,Apr,2019,6.55,100,Iraq,Upper middle income,Middle East & North Africa,40222503,2,TRUE,6.55,Conflict
IRQ,IRQ003,Syrian and Palestinian refugees in iraq,International displacement,Country,No,Individual,Syrian Refugees,IRQ,Iraq,Middle east,0,3.26,0.28,0.05,0,2.5,0,92.8,8,1.3,0,3,2.8,Apr,2019,0.33,102.1,Iraq,Upper middle income,Middle East & North Africa,40222503,3,TRUE,0.33,Displacement
ITA,ITA002,Mixed migration flows in Italy,International displacement,Country,Yes,Individual,Mixed Migration,ITA,Italy,Europe,,0,0,0,0,0,,0,0,0,0,0,0,Feb,2019,0,0,Italy,High income,Europe & Central Asia,60461828,1,TRUE,0,Displacement
JOR,JOR001,Refugee situation in Jordan,,Country,,Individual,,JOR,Jordan,Middle east,0.12,0.98,0,0,0,0,1.3,11,0,0,0,2,1,Feb,2019,0,12.3,Jordan,Upper middle income,Middle East & North Africa,10203140,1,TRUE,0,Displacement
JOR,JOR002,Syrian refugees in Jordan,International displacement,Country,Yes,Individual,Syrian refugees,JOR,Jordan,Middle east,7.61,0.71,0.58,0,0,2.9,85.6,8,6.5,0,0,3,3,May,2019,0.58,100.1,Jordan,Upper middle income,Middle East & North Africa,10203140,2,TRUE,0.58,Displacement
JOR,JOR003,Palestinian refugees in Jordan,,Country,,Individual,,JOR,Jordan,Middle east,0,0.41,0,0,0,0,0,100,0,0,0,2,1,Feb,2019,0,100,Jordan,Upper middle income,Middle East & North Africa,10203140,3,TRUE,0,Displacement
KEN,KEN001,Multiple crisis in Kenya ,Multiple crises country,Country,Yes,Aggregated,Country level ,KEN,Kenya,Africa,41.92,0.38,3.23,0.36,0,4.3,80.8,0.7,6.2,0.7,0,3,3.7,Nov,2019,3.59,88.4,Kenya,Lower middle income,Sub-Saharan Africa,53771300,1,TRUE,3.59,Complex
KEN,KEN002,Refugee situation in Kenya,International displacement,Country,Yes,Individual,Refugee situation,KEN,Kenya,Africa,4.72,0,0.49,0,0,2.8,90.7,0,9.3,0,0,3,2.9,Nov,2019,0.49,100,Kenya,Lower middle income,Sub-Saharan Africa,53771300,2,TRUE,0.49,Displacement
KEN,KEN003,Drought in Kenya,Drought,Country,No,Individual,Drought,KEN,Kenya,Africa,42.76,6.02,2.74,0.36,0,4.2,82.4,11.6,5.3,0.7,0,3,3.6,Nov,2019,3.1,100,Kenya,Lower middle income,Sub-Saharan Africa,53771300,3,TRUE,3.1,Physical
KEN,KEN004,Floods in Kenya,Flood,Country,No,Individual,,KEN,Kenya,Africa,,,,,,,,,,,,,,Nov,2019,0,0,Kenya,Lower middle income,Sub-Saharan Africa,53771300,4,TRUE,0,Physical
LAO,LAO002,Tropical Storm Podul in Laos ,,Country,,Individual,,LAO,Laos,Asia,2.24,0.62,0.04,0,0,1,76.2,21.1,1.4,0,0,2,1.5,Oct,2019,0.04,98.7,Laos,Lower middle income,East Asia & Pacific,7275556,1,FALSE,0.04,Physical
LBN,LBN001,Refugee situation in Lebanon,,Country,,Individual,,LBN,Lebanon,Middle east,0.56,0.91,0.19,0,0,2.1,9.2,15,3.2,0,0,2,2.1,Feb,2019,0.19,27.4,Lebanon,Upper middle income,Middle East & North Africa,6825442,1,TRUE,0.19,Displacement
LBN,LBN002,Syrian refugees in Lebanon,International displacement,Country,No,Individual,Syrian refugees,LBN,Lebanon,Middle east,4.55,0.55,0.79,0.19,0,3.3,74.9,9,13,3.2,0,3,3.2,Apr,2019,0.98,100.1,Lebanon,Upper middle income,Middle East & North Africa,6825442,2,TRUE,0.98,Displacement
LBN,LBN003,Palestinians in Lebanon,,Country,,Individual,,LBN,Lebanon,Middle east,0.06,0.12,0,0,0,0,1,2,0,0,0,0,0,Feb,2019,0,3,Lebanon,Upper middle income,Middle East & North Africa,6825442,3,TRUE,0,
LBY,LBY001,Complex crisis in Libya,Multiple crises country,Country,Yes,Aggregated,Complex crisis,LBY,Libya,Africa,5.43,0.53,0.26,0.63,0.19,3.4,77.2,7.5,3.7,8.9,2.6,4,3.7,Apr,2019,1.08,99.9,Libya,Upper middle income,Middle East & North Africa,6871287,1,FALSE,0.41,Complex
LBY,LBY002,Mixed migration flows in Libya,International displacement,Country,No,Individual,Mixed Migration,LBY,Libya,Africa,7.02,0,0.26,0.33,0.08,3,99.9,0,3.6,4.7,1.1,4,3.5,Apr,2019,0.67,109.3,Libya,Upper middle income,Middle East & North Africa,6871287,2,FALSE,0.67,Displacement
LSO,LSO002,Drought in Lesotho,Drought,Country,Yes,Individual,Drought,LSO,Lesotho,Africa,1.28,0.53,0.36,0.07,0,2.7,56.4,23.6,16,3.2,0,3,2.9,Oct,2019,0.43,99.2,Lesotho,Lower middle income,Sub-Saharan Africa,2142252,1,FALSE,0.43,Physical
MAR,MAR002,Mixed migration flows in Morocco,International displacement,Country,Yes,Individual,Mixed Migration,MAR,Morocco,Africa,,,,0,0,,,,,0,0,,,Feb,2019,0,0,Morocco,Lower middle income,Middle East & North Africa,36910558,1,TRUE,0,Displacement
MDG,MDG001,Complex situation in Madagascar,,Country,No,Individual,,MDG,Madagascar,Africa,1.6,1.34,0.94,0.37,0,3.5,6,5,3.5,1.4,0,2,2.8,Feb,2019,1.31,15.9,Madagascar,Low income,Sub-Saharan Africa,27691019,1,TRUE,1.31,Complex
MDG,MDG002,Drought in Madagascar,Drought,Country,Yes,Individual,Drought,MDG,Madagascar,Africa,0,1.34,0.94,0.37,0,3.5,0,27.9,19.6,7.6,0,4,3.8,Feb,2019,1.31,55.1,Madagascar,Low income,Sub-Saharan Africa,27691019,2,TRUE,1.31,Physical
MDG,MDG003,Measles in Madagascar,,Country,No,Individual,,MDG,Madagascar,Africa,22.43,4.15,0.13,0.01,0,1.9,84,15.5,0.5,0,0,2,2,May,2019,0.14,100,Madagascar,Low income,Sub-Saharan Africa,27691019,3,TRUE,0.14,Physical
MEX,MEX001,Multiple crisis in Mexico,Multiple crises country,Country,Yes,Aggregated,Country Level,MEX,Mexico,Americas,,,,,,,,,,,,,,Nov,2019,0,0,Mexico,Upper middle income,Latin America & Caribbean,128932753,1,TRUE,0,Complex
MEX,MEX002,Criminal Violence in Mexico,Other type of violence,Country,No,Individual,Criminal Violence,MEX,Mexico,Americas,,,,,,,,,,,,,,Nov,2019,0,0,Mexico,Upper middle income,Latin America & Caribbean,128932753,2,TRUE,0,Conflict
MEX,MEX003,Mixed Migration in Mexico,International displacement,Country,No,Individual,Mixed Migration,MEX,Mexico,Americas,,,,,,,,,,,,,,Nov,2019,0,0,Mexico,Upper middle income,Latin America & Caribbean,128932753,3,TRUE,0,Displacement
MLI,MLI001,Complex crisis in Mali,Complex crisis,Country,Yes,Individual,Complex crisis,MLI,Mali,Africa,10.61,4.8,3.46,0.44,0,4.3,54.9,24.9,17.9,2.3,0,3,3.7,Aug,2019,3.9,100,Mali,Low income,Sub-Saharan Africa,20250834,1,FALSE,3.9,Complex
MMR,MMR001,Multiple crises in Myanmar,Multiple crises country,Country,Yes,Aggregated,Country level,MMR,Myanmar,Asia,5.72,2.61,0.5,0.43,0,3.3,61.8,28.2,5.4,4.6,0,3,3.2,Apr,2019,0.93,100,Myanmar,Lower middle income,East Asia & Pacific,54409794,1,TRUE,0.93,Complex
MMR,MMR002,Rakhine Conflict,Conflict,Country,No,Individual,Rakhine conflict,MMR,Myanmar,Asia,0,0,0.39,0.32,0,3.1,0,0,10.3,8.6,0,4,3.6,Feb,2019,0.71,18.9,Myanmar,Lower middle income,East Asia & Pacific,54409794,2,TRUE,0.71,Conflict
MMR,MMR003,Kachin and Shan Conflict,Conflict,Country,No,Individual,Kachin and Shan conflict,MMR,Myanmar,Asia,0,0,0.11,0.11,0,2.2,0,0,2,1.9,0,0,1.1,Feb,2019,0.22,3.9,Myanmar,Lower middle income,East Asia & Pacific,54409794,3,TRUE,0.22,Conflict
MOZ,MOZ001,Complex crisis in Mozambique,Complex crisis,Country,Yes,Individual,Complex crisis,MOZ,Mozambique,Africa,16.79,8.71,0.92,2.36,0,4.2,58.2,30.2,3.2,8.2,0,4,4.1,Apr,2019,3.28,99.8,Mozambique,Low income,Sub-Saharan Africa,31255435,1,TRUE,3.28,Complex
MOZ,MOZ002,Drought in Mozambique,Drought,Country,No,Individual,,MOZ,Mozambique,Africa,0,0,1.57,0.46,0,3.8,0,0,5.4,1.6,0,3,3.4,Feb,2019,2.03,7,Mozambique,Low income,Sub-Saharan Africa,31255435,2,TRUE,2.03,Physical
MOZ,MOZ003,Tropical Cyclone Idai in mozambique,,Country,No,Individual,,MOZ,Mozambique,Africa,0,3.2,0,1.85,0,3.8,0,63.4,0,36.6,0,4,3.9,Apr,2019,1.85,100,Mozambique,Low income,Sub-Saharan Africa,31255435,3,TRUE,1.85,Physical
MOZ,MOZ004,Cabo Delgado Islamist Insurgency,Other type of violence,Country,No,Individual,Violent Insurgency in Cabo Delgado,MOZ,Mozambique,Africa,,,,,,,,,,,,,,Mar,2019,0,0,Mozambique,Low income,Sub-Saharan Africa,31255435,4,TRUE,0,Conflict
MOZ,MOZ005,Tropical Cyclone Kenneth in Mozambique,,Country,No,Individual,,MOZ,Mozambique,Africa,0.57,0,0,0.17,0,2,77,0,0,22.7,0,4,3,Apr,2019,0.17,99.7,Mozambique,Low income,Sub-Saharan Africa,31255435,5,TRUE,0.17,Physical
MRT,MRT001,Complex situation in Mauritania,,Country,,Individual,,MRT,Mauritania,Africa,0,0.94,0.28,0,0,2.4,0,22.9,6.8,0.1,0,3,2.7,Feb,2019,0.28,29.8,Mauritania,Lower middle income,Sub-Saharan Africa,4649660,1,TRUE,0.28,Complex
MRT,MRT002,Refugees from Mali in Mauritania,International displacement,Country,No,Individual,Malian refugees,MRT,Mauritania,Africa,0.01,0,0.06,0,0,1.3,16.2,0,83.8,0,0,3,2.2,May,2019,0.06,100,Mauritania,Lower middle income,Sub-Saharan Africa,4649660,2,TRUE,0.06,Displacement
MRT,MRT003,Food Security in Mauritania,Drought,Country,Yes,Individual,Food security,MRT,Mauritania,Africa,2.32,1.15,0.63,0.04,0,3,56.1,27.8,15.1,1,0,3,3,Jun,2019,0.67,100,Mauritania,Lower middle income,Sub-Saharan Africa,4649660,3,TRUE,0.67,Physical
MWI,MWI002,Complex crisis in Malawi,Complex crisis,Country,Yes,Individual,Complex,MWI,Malawi,Africa,6.91,5.03,2.86,0.45,0,4.2,,,,,,,4.2,Feb,2019,3.31,0,Malawi,Low income,Sub-Saharan Africa,19129955,1,FALSE,2.44,Complex
MWI,MWI003,Tropical Cyclone Idai in Malawi,,Country,No,Individual,,MWI,Malawi,Africa,7.35,0,0.81,0.06,0,3.2,89.4,0,9.8,0.7,0,3,3.1,May,2019,0.87,99.9,Malawi,Low income,Sub-Saharan Africa,19129955,2,FALSE,0.87,Physical
NER,NER001,Multiple crises in Niger,Multiple crises country,Country,Yes,Aggregated,Country level,NER,Niger,Africa,19.35,0.11,1.75,0.46,0,3.9,89.4,0.5,8.1,2.1,0,3,3.5,Apr,2019,2.21,100.1,Niger,Low income,Sub-Saharan Africa,24206636,1,FALSE,1.02,Complex
NER,NER002,Boko Haram in Niger,Conflict,Country,No,Individual,Boko Haram,NER,Niger,Africa,0,0.27,0.37,0.1,0,2.8,0,36.4,49.5,14.1,0,4,3.4,Apr,2019,0.47,100,Niger,Low income,Sub-Saharan Africa,24206636,2,FALSE,0.47,Conflict
NER,NER003,Mali/Burkina Faso conflict,Conflict,Country,No,Individual,Cross-border violence ,NER,Niger,Africa,7.08,0,0.59,0.13,0,3.1,90.8,0,7.6,1.6,0,3,3.1,Apr,2019,0.72,100,Niger,Low income,Sub-Saharan Africa,24206636,3,FALSE,0.72,Conflict
NGA,NGA001,Complex crisis in Nigeria,Complex crisis,Country,Yes,Individual,Complex crisis,NGA,Nigeria,Africa,86.31,21.24,4.56,5.3,0,5,46,11.3,2.4,2.8,0,3,4,Mar,2019,9.86,62.5,Nigeria,Lower middle income,Sub-Saharan Africa,206139587,1,FALSE,0.0399999999999991,Complex
NGA,NGA002,Food insecurity in Nigeria,,Country,No,Individual,,NGA,Nigeria,Africa,0,14.91,2.32,0.13,0,4,0,7.9,1.2,0.1,0,2,3,Jan,2019,2.45,9.2,Nigeria,Lower middle income,Sub-Saharan Africa,206139587,2,FALSE,2.45,Physical
