Respondent_ID,Region,Programme,Division,District,Upazila/pouroshova,Union/ward,Area,ward,Age,Age (Decile),Sex,Occupation,Q11,Q12_current_income,Q13_prev_month_income,Q14_current_month_expen,Q15_prev_expense,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q18_Boolean,Q20_Boolean,Q21_Boolean,Q22_boolean,Q24_boolean,Q27_boolean,Q29_boolean,Q30,Q31,Q32,Q31_5s,Q32_10s,Q33,Q34,Q35,Q36,Q30_food,Q30_cash,Q30_commodities_at_fair_price,Q30_Medical_treatment,Q30_Misconception
111,Noakhali,MF-BDU,Chattogram,Noakhali,Hatiya ,Chanandi,Rural,NA,50,50,Men,small business/convenience shop,lost job/no work,0,25000,15000,15000,7,0,Yes,TV,Yes,Do know,Do not know,Will consult pharmacist/doctor,No,home quarantine,do not fully agree,Yes,5,No,1,1,1,0,0,1,0,অ. খাদ্য সাহায্য,2,15,0,10,ই.  সম্পদ বিক্রী,No,,,1,0,0,0,0
112,Feni-1,MF-BDU,Chattogram,Feni,Feni Sadar,Sharsodi,Rural,NA,20,20,Men,small business/convenience shop,lost job/no work,500,7000,3000,7000,7,2,Yes,TV,Yes,Do know,Do know,Corona helpline,Yes,home quarantine,completely agree,Yes,4,Yes,1,1,1,1,1,1,1,ই.  নগদ অর্থ সাহায্য,0,7,0,0,ঊ. সরকারি বা দাতাদের সাহায্য,No,,,0,1,0,0,0
113,Bhairab,MF-BDU,Dhaka,Kishoreganj ,Bhairab,Shibpur Sadar,Rural,NA,37,30,Men,Day laborer (agri),lost job/no work,0,12000,7000,9000,4,0,Yes,social networking sites (Facebook),Yes,Do know,Do know,Local govt hospital,Yes,home quarantine,completely agree,Yes,10,Yes,1,1,1,1,1,1,1,"অ. খাদ্য সাহায্য, ঈ. পর্যাপ্ত চিকিৎসা ব্যবস্থা",8,15,5,10,উ.  পেশা পরিবর্তন,No,,,1,0,0,1,0
114,Gopalganj,MF-BDU,Dhaka,Gopalgonj,Gopalgonj sadar,Raghunathpur,Rural,NA,25,20,Men,Private service holder,lost job/no work,0,10000,6000,5000,3,0,Yes,social networking sites (Facebook),Yes,Do know,Do know,Local govt hospital,Yes,treatment available only in Dhaka,somewhat agree,Yes,7,No,1,1,1,1,1,1,0,ঈ. পর্যাপ্ত চিকিৎসা ব্যবস্থা,7,7,5,0,ঋ. পরিকল্পনা নাই,No,,,0,0,0,1,0
115,C.N.Ganj,MF-BDU,Rajshahi,Chapainawabganj,Gomostapur ,Bangabari,Rural,NA,47,40,Men,factory worker,lost job/no work,0,15000,13000,15000,5,0,Yes,TV,Yes,Do know,Do know,Local govt hospital,No,no treatment available,completely agree,Yes,30,Yes,1,1,1,1,0,1,1,অ. খাদ্য সাহায্য,5,90,5,90,ঋ. পরিকল্পনা নাই,No,,,1,0,0,0,0
116,Pabna-3,MF-BDU,Rajshahi,Pabna,Pabna sadar,Maligacha,Rural,NA,40,40,Men,factory worker,have job but no pay/salary,2000,12000,7000,5000,4,1,Yes,TV,Yes,Do know,Do know,Corona helpline,No,no treatment available,totally wrong decision,Yes,30,No,1,1,1,1,0,1,0,"অ. খাদ্য সাহায্য, ঈ. পর্যাপ্ত চিকিৎসা ব্যবস্থা",10,90,10,90,"ঈ. ঋণ গ্রহন, উ.  পেশা পরিবর্তন",No,,,1,0,0,1,0
117,Manikgonj,MF-BDU,Dhaka,Manikgonj,Manikgonj Pourasova,Ward No-3,Urban,NA,40,40,Men,Private service holder,have job but no pay/salary,15000,15000,15000,15000,4,0,Yes,TV,Yes,Do not know,Do not know,Local govt hospital,Yes,home quarantine,dont know,Yes,7,Yes,1,1,0,0,1,1,1,অ. খাদ্য সাহায্য,4,15,0,10,ঋ. পরিকল্পনা নাই,No,,,1,0,0,0,0
118,Rajbari,MF-BDU,Dhaka,Rajbari,Rajbari Sadar,Dadshi/4 no ward,Rural,NA,55,50,Men,Day laborer (non-agri),lost job/no work,0,16000,5000,14000,3,0,Yes,Newspaper,Yes,Do know,Do know,Corona helpline,No,treatment available only in Dhaka,somewhat agree,Yes,7,Yes,1,1,1,1,0,1,1,ই.  নগদ অর্থ সাহায্য,2,15,0,10,ঋ. পরিকল্পনা নাই,No,,,0,1,0,0,0
119,Uttara,MF-BDU,Dhaka,Gazipur,Tongi,Word no. 54,Urban,NA,61,60,Men,others,lost job/no work,4000,8000,4000,7500,2,1,Yes,TV,Yes,Do know,Do know,dont know,No,inevitable death,completely agree,Yes,10,No,1,1,1,1,0,1,0,অ. খাদ্য সাহায্য,1,7,0,0,ঋ. পরিকল্পনা নাই,No,,,1,0,0,0,0
120,B.Baria-2,MF-BDU,Chattogram,Bramhanbaria,Bramhanbaria Sadar,Sultanpur ,Rural,NA,35,30,Men,small business/convenience shop,lost job/no work,0,30000,22000,27000,7,1,Yes,social networking sites (Facebook),Yes,Do know,Do not know,Local govt hospital,Yes,no treatment available,somewhat agree,No,,Yes,1,1,1,0,1,0,1,উ.  কম মূল্যে নিত্যপ্রয়োজনীয় সামগ্রীর ব্যবস্থা,10,7,10,0,ঋ. পরিকল্পনা নাই,No,,,0,0,1,0,0
121,,UDP,Khulna,Khulna,DAULATPUR,,Urban,Ward No:2,64,60,Men,rickshawpuller,continuing previous work,3000,6000,5000,6000,6,1,Yes,TV,Yes,Do not know,Do not know,stay home,No,home quarantine,somewhat agree,না,10,Yes,1,1,0,0,0,0,1,নগদ অর্থ সাহায্য,0,10,0,10,পরিকল্পনা নাই,No,,পাই নাই,0,1,0,0,0
122,Mymensingh-2,MF-BDU,Mymensingh,Mymensingh,Gouripur,7,Rural,NA,52,50,Men,rickshawpuller,lost job/no work,5000,12000,10000,15000,6,0,Yes,TV,Yes,Do know,Do not know,suggest to go to local govt representative,No,treatment available only in Dhaka,completely agree,Yes,10,Yes,1,1,1,0,0,1,1,"অ. খাদ্য সাহায্য, ঈ. পর্যাপ্ত চিকিৎসা ব্যবস্থা",7,20,5,20,"উ.  পেশা পরিবর্তন, ঊ. সরকারি বা দাতাদের সাহায্য",No,,,1,0,0,1,0
123,Rajshahi-2,MF-BDU,Rajshahi,Natore,Lalpur,Chong Dhubul,Rural,NA,25,20,Men,Private service holder,lost job/no work,17000,23000,17000,18000,4,0,Yes,social networking sites (Facebook),Yes,Do know,Do know,Corona helpline,No,home quarantine,somewhat agree,Yes,15,No,1,1,1,1,0,1,0,"অ. খাদ্য সাহায্য, ঈ. পর্যাপ্ত চিকিৎসা ব্যবস্থা",30,30,30,30,ঋ. পরিকল্পনা নাই,No,,,1,0,0,1,0
124,Manikgonj,MF-BDU,Dhaka,Manikgonj,Manikgonj Pourasova,Ward No-3,Urban,NA,45,40,Men,factory worker,have job but no pay/salary,20000,25000,24000,24000,6,1,Yes,TV,Yes,Do not know,Do not know,Local govt hospital,Yes,no treatment available,completely agree,Yes,7,Yes,1,1,0,0,1,1,1,অ. খাদ্য সাহায্য,10,15,10,10,ঋ. পরিকল্পনা নাই,No,,,1,0,0,0,0
125,Uttara,MF-BDU,Dhaka,Gazipur,Tongi,Word no. 49,Urban,NA,50,50,Men,Day laborer (non-agri),continuing previous work,6000,12000,7000,12000,4,0,Yes,Friends,Yes,Do know,Do know,Local govt hospital,Yes,no treatment available,somewhat agree,Yes,7,Yes,1,1,1,1,1,1,1,ই.  নগদ অর্থ সাহায্য,4,15,0,10,ঊ. সরকারি বা দাতাদের সাহায্য,No,,,0,1,0,0,0
126,,UDP,Sylhet,Sylhet,SYLHET SADAR,,Urban,Ward No:26,45,40,Men,Hotel/restaurant worker,have job but no pay/salary,5000,8000,5000,8000,6,0,Yes,TV,No,Do not know,Do not know,Local govt hospital,Yes,no treatment available,completely agree,হ্যাঁ,10,Yes,1,0,0,0,1,0,1,নগদ অর্থ সাহায্য,3,10,0,10,ঋণ গ্রহন,No,,,0,1,0,0,0
127,,UDP,Chattogram,Chattogram,KHULSHI,,Urban,Ward No:13,35,30,Men,rickshawpuller,lost job/no work,0,12000,12000,12000,4,1,Yes,TV,Yes,Do know,Do know,Local govt hospital,Yes,no treatment available,completely agree,হ্যাঁ,10,Yes,1,1,1,1,1,0,1,"খাদ্য সাহায্য, নগদ অর্থ সাহায্য, পর্যাপ্ত চিকিৎসা ব্যবস্থা",0,30,0,30,"সঞ্চয় থেকে উত্তোলন, ঋণ গ্রহন",No,,,1,1,0,1,0
128,,UDP,Dhaka,Gazipur,Tongi Poshchim,,Urban,Ward No:51,42,40,Men,unemployed,lost job/no work,8000,8000,7700,7000,4,0,Yes,NGO,Yes,Do not know,Do not know,Corona helpline,No,home quarantine,somewhat agree,হ্যাঁ,30,Yes,1,1,0,0,0,0,1,খাদ্য সাহায্য,20,30,20,30,ঋণ গ্রহন,No,,পাই নাই,1,0,0,0,0
129,Sylhet-2,MF-BDU,Sylhet,Sylhet,Bishownath,Doulotpur,Rural,NA,36,30,Men,factory worker,lost job/no work,0,22000,15000,15000,6,2,Yes,TV,Yes,Do know,Do know,Local govt hospital,Yes,no treatment available,completely agree,No,,Yes,1,1,1,1,1,0,1,অ. খাদ্য সাহায্য,0,20,0,20,ঋ. পরিকল্পনা নাই,No,,,1,0,0,0,0
130,,UDP,Rajshahi,Rajshahi,MATIHAR,,Urban,Ward No:28,40,40,Men,rickshawpuller,lost job/no work,1650,6500,6500,6500,4,1,Yes,TV,Yes,Do know,Do not know,city hospital,Yes,home quarantine,completely agree,হ্যাঁ,10,Yes,1,1,1,0,1,0,1,"খাদ্য সাহায্য, নগদ অর্থ সাহায্য, মানুষের মধ্যে ভয় দুর করা",1,30,0,30,"সম্পদ বিক্রী, সরকারি বা দাতাদের সাহায্য",No,,,1,1,0,0,1
131,Sreemongal,MF-BDU,Sylhet,Moulvibazar,Sreemongal,Bhunobir,Rural,NA,40,40,Men,CNG/auto driver,lost job/no work,0,14000,4000,12000,5,0,Yes,TV,Yes,Do know,Do know,Local govt hospital,Yes,home quarantine,completely agree,Yes,7,No,1,1,1,1,1,1,0,উ.  কম মূল্যে নিত্যপ্রয়োজনীয় সামগ্রীর ব্যবস্থা,5,30,5,30,ঋ. পরিকল্পনা নাই,No,,,0,0,1,0,0
132,Chattogram-2,MF-BDU,Chattogram,Chattogram,Kotwali,35,Urban,NA,48,40,Men,others,lost job/no work,0,10000,7000,8500,6,1,Yes,NGO,Yes,Do know,Do know,Corona helpline,Yes,lockdown whole area/village,completely agree,Yes,10,Yes,1,1,1,1,1,1,1,অ. খাদ্য সাহায্য,5,10,5,10,উ.  পেশা পরিবর্তন,No,,,1,0,0,0,0
133,Madaripur-1,MF-BDU,Dhaka,Madaripur,Madaripur Sadar,Ward No 7,Rural,NA,45,40,Men,CNG/auto driver,lost job/no work,0,20000,12000,16000,6,1,Yes,TV,Yes,Do know,Do know,Local govt hospital,Yes,home quarantine,completely agree,Yes,10,Yes,1,1,1,1,1,1,1,উ.  কম মূল্যে নিত্যপ্রয়োজনীয় সামগ্রীর ব্যবস্থা,5,10,5,10,ঈ. ঋণ গ্রহন,No,,,0,0,1,0,0
134,,UDP,Khulna,Khulna,KHULNA SADAR,,Urban,Ward No:21,50,50,Men,Day laborer (non-agri),lost job/no work,0,10000,10000,10000,4,0,Yes,TV,Yes,Do not know,Do not know,Local govt hospital,Yes,home quarantine,completely agree,হ্যাঁ,7,Yes,1,1,0,0,1,0,1,খাদ্য সাহায্য,1,15,0,10,সরকারি বা দাতাদের সাহায্য,No,,পাই নাই,1,0,0,0,0
135,,UDP,Mymensingh,Mymensingh,MYMENSINGH SADAR,,Urban,Ward No:19,50,50,Men,Day laborer (non-agri),lost job/no work,0,5000,0,4000,6,0,Yes,TV,Yes,Do know,Do know,Local govt hospital,Yes,home quarantine,completely agree,হ্যাঁ,26,Yes,1,1,1,1,1,0,1,খাদ্য সাহায্য,2,0,0,0,ঋণ গ্রহন,No,,,1,0,0,0,0
136,,UDP,Dhaka,Narayanganj,NARAYANGANJ SADAR,,Urban,Ward No:14,55,50,Men,small business/convenience shop,lost job/no work,4000,4000,3950,3690,6,1,Yes,TV,Yes,Do not know,Do not know,Corona helpline,Yes,no treatment available,completely agree,হ্যাঁ,30,Yes,1,1,0,0,1,0,1,কম মূল্যে নিত্যপ্রয়োজনীয় সামগ্রীর ব্যবস্থা,7,30,5,30,সরকারি বা দাতাদের সাহায্য,No,,পাই নাই,0,0,1,0,0
137,Sonargaon,MF-BDU,Dhaka,Narayanganj,Sonargaon,Kachpur,Urban,NA,40,40,Men,rickshawpuller,lost job/no work,11500,15000,10000,15000,6,0,Yes,TV,Yes,Do not know,Do know,Corona helpline,Yes,treatment available only in Dhaka,completely agree,Yes,10,No,1,1,0,1,1,1,0,অ. খাদ্য সাহায্য,1,10,0,10,ঊ. সরকারি বা দাতাদের সাহায্য,No,,,1,0,0,0,0
138,C.N.Ganj,MF-BDU,Rajshahi,Chapainawabganj,C.Ngonj Sadar,Gobratula,Rural,NA,32,30,Men,Day laborer (non-agri),lost job/no work,1000,10000,7000,8500,5,0,Yes,TV,No,Do not know,Do not know,dont know,No,no treatment available,do not fully agree,No,,No,1,0,0,0,0,0,0,ঈ. পর্যাপ্ত চিকিৎসা ব্যবস্থা,3,0,0,0,ঋ. পরিকল্পনা নাই,No,,,0,0,0,1,0
139,Pabna-2,MF-BDU,Rajshahi,Pabna,Santhia,Vulbaria,Rural,NA,36,30,Men,Day laborer (non-agri),switched job/work,5000,13000,7000,12000,3,0,Yes,TV,No,Do not know,Do not know,stay home,No,no treatment available,completely agree,Yes,15,Yes,1,0,0,0,0,1,1,অ. খাদ্য সাহায্য,7,20,5,20,ঈ. ঋণ গ্রহন,No,,,1,0,0,0,0
140,Feni-2,MF-BDU,Chattogram,Feni,Dagonbhuiyan ,Rajapur,Rural,NA,40,40,Men,rickshawpuller,lost job/no work,0,15000,10000,12000,7,0,Yes,TV,Yes,Do know,Do know,Local govt hospital,Yes,no treatment available,completely agree,No,,Yes,1,1,1,1,1,0,1,অ. খাদ্য সাহায্য,0,25,0,20,ঈ. ঋণ গ্রহন,No,,,1,0,0,0,0
141,Rajshahi-2,MF-BDU,Rajshahi,Rajshahi,Lalpur,Arbar,Rural,NA,34,30,Men,Day laborer (non-agri),lost job/no work,8000,16000,7000,7000,5,0,Yes,Mobile SMS/voice message,Yes,Do know,Do know,Local govt hospital,Yes,home quarantine,somewhat agree,Yes,7,No,1,1,1,1,1,1,0,অ. খাদ্য সাহায্য,30,15,30,10,ঊ. সরকারি বা দাতাদের সাহায্য,No,,,1,0,0,0,0
142,Noakhali,MF-BDU,Chattogram,Noakhali,Kabirhat ,Bataya,Rural,NA,62,60,Men,Private service holder,paid leave from job,40000,45000,25000,25000,6,1,Yes,TV,Yes,Do know,Do know,Local govt hospital,No,home quarantine,completely agree,Yes,7,Yes,1,1,1,1,0,1,1,উ.  কম মূল্যে নিত্যপ্রয়োজনীয় সামগ্রীর ব্যবস্থা,5,20,5,20,ঋ. পরিকল্পনা নাই,No,,,0,0,1,0,0
143,Cumilla-1,MF-BDU,Chattogram,Cumilla,Chandina ,Cutombopur,Rural,NA,48,40,Men,Hotel/restaurant worker,lost job/no work,0,20000,10000,15000,4,0,Yes,Newspaper,Yes,Do know,Do know,stay home,Yes,treatment available only in Dhaka,completely agree,Yes,15,Yes,1,1,1,1,1,1,1,"অ. খাদ্য সাহায্য, ই.  নগদ অর্থ সাহায্য",15,15,15,10,ঋ. পরিকল্পনা নাই,No,,,1,1,0,0,0
144,,UDP,Khulna,Satkhira,SATKHIRA SADAR,,Urban,Ward No:8,32,30,Men,small business/convenience shop,shop/market business closed,0,9000,4000,8000,3,0,Yes,NGO,Yes,Do not know,Do not know,Local govt hospital,No,no treatment available,somewhat agree,না,,No,1,1,0,0,0,0,0,"খাদ্য সাহায্য, নগদ অর্থ সাহায্য, কম মূল্যে নিত্যপ্রয়োজনীয় সামগ্রীর ব্যবস্থা",15,0,15,0,"সম্পদ বিক্রী, পেশা পরিবর্তন, সরকারি বা দাতাদের সাহায্য",No,,,1,1,1,0,0
145,,UDP,Dhaka,Gazipur,Tongi Poshchim,,Urban,Ward No:49,58,50,Men,Day laborer (non-agri),lost job/no work,2000,6000,4000,4000,3,0,No,TV,Yes,Do not know,Do not know,Corona helpline,Yes,home quarantine,somewhat agree,হ্যাঁ,10,Yes,0,1,0,0,1,0,1,খাদ্য সাহায্য,20,25,20,20,পরিকল্পনা নাই,No,,পাই নাই,1,0,0,0,0
146,Cumilla-2,MF-BDU,Chattogram,Cumilla,Barura,Bakoy,Rural,NA,37,30,Men,Private service holder,have job but no pay/salary,0,12000,6000,7000,4,0,Yes,social networking sites (Facebook),Yes,Do know,Do not know,dont know,Yes,home quarantine,completely agree,No,,Yes,1,1,1,0,1,0,1,"অ. খাদ্য সাহায্য, ঈ. পর্যাপ্ত চিকিৎসা ব্যবস্থা",4,0,0,0,ঊ. সরকারি বা দাতাদের সাহায্য,No,,,1,0,0,1,0
147,Chuadanga,MF-BDU,Khulna,Chuadanga,Damurhuda,Hawli,Rural,NA,22,20,Men,factory worker,have job but no pay/salary,0,14000,7000,10000,3,2,Yes,TV,Yes,Do know,Do know,Corona helpline,Yes,treatment available only in Dhaka,completely agree,Yes,7,No,1,1,1,1,1,1,0,উ.  কম মূল্যে নিত্যপ্রয়োজনীয় সামগ্রীর ব্যবস্থা,10,7,10,0,উ.  পেশা পরিবর্তন,No,,,0,0,1,0,0
148,,UDP,Dhaka,Narayanganj,NARAYANGANJ SADAR,,Urban,Ward No:17,60,60,Men,Day laborer (agri),lost job/no work,0,9500,10000,10000,5,1,Yes,TV,Yes,Do not know,Do not know,Local govt hospital,Yes,home quarantine,somewhat agree,না,0,No,1,1,0,0,1,0,0,কম মূল্যে নিত্যপ্রয়োজনীয় সামগ্রীর ব্যবস্থা,1,0,0,0,ঋণ গ্রহন,No,,পাই নাই,0,0,1,0,0
149,Habiganj,MF-BDU,Sylhet,Habigonj,Lakhai,Murakuri,Rural,NA,34,30,Men,Hotel/restaurant worker,lost job/no work,0,16000,12000,15000,6,0,Yes,TV,Yes,Do know,Do know,stay home,No,home quarantine,completely agree,Yes,7,Yes,1,1,1,1,0,1,1,অ. খাদ্য সাহায্য,7,10,5,10,ঊ. সরকারি বা দাতাদের সাহায্য,No,,,1,0,0,0,0
150,Feni-1,MF-BDU,Chattogram,Feni,Sonagazi,Bagadana,Rural,NA,50,50,Men,factory worker,lost job/no work,0,16000,5000,16000,7,0,Yes,TV,Yes,Do know,Do know,city hospital,Yes,home quarantine,completely agree,Yes,10,Yes,1,1,1,1,1,1,1,ই.  নগদ অর্থ সাহায্য,4,30,0,30,ঊ. সরকারি বা দাতাদের সাহায্য,No,,,0,1,0,0,0
151,,PSU,Dhaka,Munshiganj,MUNSHIGANJ SADAR,,Urban,NA,50,50,Men,small business/convenience shop,shop/market business closed,0,10000,3000,8000,6,2,Yes,TV,Yes,Do not know,Do not know,Corona helpline,No,treatment available only in Dhaka,dont know,হ্যাঁ,10,Yes,1,1,0,0,0,0,1,পর্যাপ্ত চিকিৎসা ব্যবস্থা,0,0,0,0,ঋণ গ্রহন,No,,পাই নাই,0,0,0,1,0
152,,UDP,Sylhet,Sylhet,SYLHET SADAR,,Urban,Ward No:26,37,30,Men,Day laborer (non-agri),lost job/no work,3000,9000,5000,7000,4,0,Yes,TV,Yes,Do not know,Do know,Corona helpline,No,home quarantine,completely agree,হ্যাঁ,10,No,1,1,0,1,0,0,0,খাদ্য সাহায্য,3,15,0,10,পরিকল্পনা নাই,No,,,1,0,0,0,0
153,Chattogram-1,MF-BDU,Chattogram,Chattogram,Fatikchari,Suabil,Rural,NA,28,20,Men,Hotel/restaurant worker,lost job/no work,0,10000,10000,10000,5,1,Yes,TV,Yes,Do know,Do not know,Local govt hospital,No,no treatment available,dont know,No,,No,1,1,1,0,0,0,0,ই.  নগদ অর্থ সাহায্য,7,7,5,0,ঈ. ঋণ গ্রহন,No,,,0,1,0,0,0
154,Chattogram-3,MF-BDU,Chattogram,Chattogram,Anowara,Barkhain ,Rural,NA,37,30,Men,rickshawpuller,lost job/no work,0,15000,6000,14000,5,1,Yes,Friends,Yes,Do know,Do not know,city hospital,Yes,treatment available only in Dhaka,somewhat agree,Yes,12,Yes,1,1,1,0,1,1,1,ঈ. পর্যাপ্ত চিকিৎসা ব্যবস্থা,2,10,0,10,ঋ. পরিকল্পনা নাই,No,,,0,0,0,1,0
155,Dhaka-1,MF-BDU,Dhaka,Dhaka,DNCC,W-19,Urban,NA,40,40,Men,others,lost job/no work,8000,15000,8000,12000,4,0,Yes,TV,No,Do not know,Do not know,Local govt hospital,No,treatment is costly,somewhat agree,Yes,9,Yes,1,0,0,0,0,1,1,"অ. খাদ্য সাহায্য, ই.  নগদ অর্থ সাহায্য",3,15,0,10,ঈ. ঋণ গ্রহন,No,,,1,1,0,0,0
156,Panchagarh,MF-BDU,Rangpur,Panchagarh,Panchagarh Sadar,Dhakkamara,Urban,NA,35,30,Men,factory worker,switched job/work,9000,13000,9000,12000,5,0,Yes,TV,Yes,Do know,Do know,Corona helpline,No,treatment available only in Dhaka,completely agree,Yes,10,No,1,1,1,1,0,1,0,অ. খাদ্য সাহায্য,3,10,0,10,উ.  পেশা পরিবর্তন,No,,,1,0,0,0,0
157,Syedpur,MF-BDU,Rangpur,Rangpur,Taragonj,Alompur,Rural,NA,62,60,Men,rickshawpuller,lost job/no work,0,15000,10000,12000,4,1,Yes,TV,Yes,Do know,Do not know,Local govt hospital,No,no treatment available,completely agree,Yes,7,Yes,1,1,1,0,0,1,1,অ. খাদ্য সাহায্য,2,15,0,10,ঈ. ঋণ গ্রহন,No,,,1,0,0,0,0
158,Feni-1,MF-BDU,Chattogram,Feni,Sonagazi,Bagadana,Rural,NA,32,30,Men,Private service holder,paid leave from job,20000,40000,30000,40000,5,0,Yes,TV,Yes,Do know,Do know,Corona helpline,Yes,home quarantine,completely agree,Yes,10,Yes,1,1,1,1,1,1,1,ঊ.  মানুষের মধ্যে ভয় দুর করা,7,30,5,30,ঋ. পরিকল্পনা নাই,No,,,0,0,0,0,1
159,Dinajpur-1,MF-BDU,Rangpur,Dinajpur,Dinajpur Sadar,3 NO Fazilpur,Urban,NA,45,40,Men,Day laborer (non-agri),lost job/no work,0,15000,3000,15000,6,1,Yes,TV,Yes,Do not know,Do not know,dont know,No,treatment available only in Dhaka,completely agree,Yes,7,No,1,1,0,0,0,1,0,ই.  নগদ অর্থ সাহায্য,0,7,0,0,ঈ. ঋণ গ্রহন,No,,,0,1,0,0,0
